model,group,player_id,playername,teamname,estimate,posterior_sd,hdi_prob,hdi_lower,hdi_upper,p_gt_zero,p_lt_zero,r_hat,ess_bulk,ess_tail,tempo_ratio,tempo_ratio_hdi_lower,tempo_ratio_hdi_upper,tempo_pct_difference,tempo_pct_difference_lower,tempo_pct_difference_upper,expected_tempo_pct_change,rank
mu,player,12576,Nikola Milenkovic,Serbia,0.01808365974626728,0.03456915938902129,0.95,-0.04981702932604118,0.08426498881060249,0.691,0.309,1.0002552285596076,6783.532470820535,3085.5450988186226,1.018248159209194,0.9514034875133321,1.0879171414852913,1.8248159209194093,-4.859651248666785,8.791714148529127,1.8248159209194093,163
mu,player,308,Harry Wilson,Wales,0.017997944236860852,0.04463611510119736,0.95,-0.07145422996747615,0.10630505072963567,0.659,0.341,1.0012974092282199,9512.598807808421,2836.2130090420465,1.0181608832900286,0.9310388902999519,1.1121610903172638,1.8160883290028629,-6.896110970004809,11.216109031726385,1.8160883290028629,164
mu,player,3315,Vincent Janssen,Netherlands,0.017896779438845142,0.05280091691569108,0.95,-0.08308575367356964,0.11913776805015208,0.629,0.371,1.0011661514663148,8961.016852473487,2875.038657773795,1.0180578864598377,0.9202722271121695,1.1265251067655069,1.8057886459837746,-7.972777288783051,12.652510676550687,1.8057886459837746,165
mu,player,9963,Niclas Fullkrug,Germany,0.017779527474124663,0.05166509209457226,0.95,-0.08386851880868115,0.11717065139662405,0.6445,0.3555,1.0016082822757055,9979.609052430978,2981.196786149631,1.0179385241703194,0.9195521519596038,1.1243112786103633,1.793852417031938,-8.044784804039617,12.431127861036328,1.793852417031938,166
mu,player,12640,Martin Hongla,Cameroon,0.01757064589836148,0.04393814798513258,0.95,-0.07104121606816498,0.10368372279680597,0.65475,0.34525,1.001273376102475,8970.231689266691,2810.063629069924,1.0177259177729134,0.9314235017219094,1.1092495690785595,1.7725917772913435,-6.857649827809064,10.924956907855954,1.7725917772913435,167
mu,player,11841,Hidemasa Morita,Japan,0.01742899209313105,0.034513505858365316,0.95,-0.048124538638111794,0.08522534570732909,0.69875,0.30125,1.0010466362956938,8580.759090699954,3118.6173711900824,1.0175817632342397,0.9530150924849087,1.0889624320608524,1.7581763234239656,-4.698490751509132,8.896243206085241,1.7581763234239656,168
mu,player,1341,Unai Simon,Spain,0.017372621585256938,0.03783652105290287,0.95,-0.05534818064583243,0.09155664439246347,0.68225,0.31775,1.0027151439991693,7603.775357314256,2938.7696095297647,1.0175244032501636,0.9461556575078254,1.0958788503261534,1.7524403250163578,-5.384434249217462,9.58788503261534,1.7524403250163578,169
mu,player,10704,Kaoru Mitoma,Japan,0.017354056035153876,0.04545122813874741,0.95,-0.07260813958928247,0.1074160904484086,0.64425,0.35575,1.0014433682763382,7620.514411456048,2814.6622657330768,1.017505512525233,0.9299651751704068,1.1133974321475404,1.7505512525233025,-7.003482482959322,11.339743214754039,1.7505512525233025,170
mu,player,4560,Carlos Gruezo,Ecuador,0.01734531507766289,0.052188360295496845,0.95,-0.08698539480164273,0.11946084618137079,0.6265,0.3735,1.0006529471072239,8441.74416935548,3028.4318638493473,1.0174966185916718,0.9166904839817331,1.1268891211911556,1.7496618591671842,-8.330951601826687,12.688912119115558,1.7496618591671842,171
mu,player,8561,Mehdi Taremi,Iran,0.01731995326108373,0.04133406799643338,0.95,-0.0626238306305935,0.09940577651363044,0.6665,0.3335,1.0016262494101296,7452.923847427205,3000.6900699498033,1.0174708133562964,0.9392967419037143,1.1045143946398153,1.747081335629641,-6.070325809628574,10.451439463981526,1.747081335629641,172
mu,player,13817,Jamie Maclaren,Australia,0.017220766861499228,0.0549851697653167,0.95,-0.09165690250596856,0.12468264179735826,0.6275,0.3725,0.999410178520552,8418.227533302974,2996.231964405689,1.0173698990943811,0.9124181442269677,1.1327888961676182,1.7369899094381136,-8.758185577303234,13.278889616761823,1.7369899094381136,173
mu,player,13904,Filip Mladenovic,Serbia,0.017185631949027613,0.05127045565376329,0.95,-0.08086094028339265,0.11426018905649335,0.633,0.367,1.0003664116355733,8434.45628761924,3029.656192985859,1.0173341545199703,0.9223219403549193,1.121043770261912,1.7334154519970335,-7.767805964508067,12.104377026191205,1.7334154519970335,174
mu,player,4012,Eduardo Camavinga,France,0.01680193452445976,0.0419988029518855,0.95,-0.06589827542986072,0.09876808225465507,0.6565,0.3435,0.9995396883230083,8350.852950782153,2979.5649950501083,1.016943880903235,0.936226096645036,1.1038102766812488,1.6943880903234954,-6.377390335496402,10.381027668124876,1.6943880903234954,175
mu,player,8583,Theo Hernandez,France,0.016593114113225945,0.026634970855119722,0.95,-0.033166235241127155,0.06966537062832871,0.7295,0.2705,1.0003973156199155,7909.387876584223,3180.8676926294816,1.016731544434689,0.9673777339510936,1.0721493485567395,1.6731544434688939,-3.262226604890639,7.214934855673949,1.6731544434688939,176
mu,player,12514,Piotr Zielinski,Poland,0.016582196585464535,0.037535037481956975,0.95,-0.0573387936051415,0.09046481699146823,0.6715,0.3285,1.0043431525637225,7501.763498162747,2931.6889929749177,1.0167204443004199,0.9442741011410223,1.0946829927230426,1.6720444300419857,-5.572589885897772,9.46829927230426,1.6720444300419857,177
mu,player,8564,Pepe,Portugal,0.016502828220970153,0.030779876050443855,0.95,-0.041824578632743345,0.07755174932837446,0.70075,0.29925,0.9998568526479742,8100.674989885497,2847.3221732902525,1.0166397520638555,0.9590380015747614,1.0806381533102638,1.6639752063855484,-4.096199842523863,8.06381533102638,1.6639752063855484,178
mu,player,7757,Thiago Almada,Argentina,0.016319312050893094,0.054185338928421194,0.95,-0.09202305165876737,0.12493506924254366,0.624,0.376,1.0018561280856821,9732.054877472185,2485.8642136509134,1.016453199348452,0.912084124250758,1.1330748792680854,1.645319934845202,-8.791587574924197,13.307487926808538,1.645319934845202,179
mu,player,13822,Jason Cummings,Australia,0.016093058906489925,0.05556008145831666,0.95,-0.09006237909028617,0.12665533322838043,0.617,0.383,0.9994945470594795,10141.401485400835,3028.9307845371945,1.0162232496303651,0.9138741768533919,1.1350257446968146,1.6223249630365144,-8.612582314660811,13.502574469681461,1.6223249630365144,180
mu,player,14017,Ali Maaloul,Tunisia,0.015899414687597445,0.04942792499638551,0.95,-0.08241356021788787,0.11234655419599104,0.62975,0.37025,1.0007571536852469,8302.398096235163,3087.2454496058226,1.0160264829249526,0.9208910360370344,1.1189005531445229,1.6026482924952568,-7.910896396296563,11.890055314452287,1.6026482924952568,181
mu,player,4194,Randal Kolo Muani,France,0.01587166361236519,0.04990922694839075,0.95,-0.08220705539386912,0.11475769835515096,0.62225,0.37775,1.000405292376602,8489.000934686128,3021.5560978479575,1.0159982874888156,0.9210812241150735,1.1216016387226861,1.59982874888156,-7.891877588492646,12.160163872268615,1.59982874888156,182
mu,player,4795,Woo-yeong Jeong,South Korea,0.01571818615698005,0.05265144224149358,0.95,-0.08568136237260708,0.1219795801779328,0.61475,0.38525,1.000620980170531,7965.079868620413,3136.0256974704876,1.015842366622451,0.9178866578554868,1.1297310326381154,1.5842366622450976,-8.211334214451316,12.973103263811536,1.5842366622450976,183
mu,player,5173,Ismael Kone,Canada,0.015611944308111607,0.038490015952143214,0.95,-0.059856292925926896,0.09246576873589794,0.6615,0.3385,1.0009023708292313,8004.335146313132,2977.8594616000883,1.0157344473841334,0.941899881534832,1.096875593479521,1.5734447384133432,-5.8100118465168045,9.68755934795209,1.5734447384133432,184
mu,player,3867,Pablo Sarabia,Spain,0.015528846790507205,0.056771390382894374,0.95,-0.09518314030420968,0.1266460884687161,0.60775,0.39225,1.0014538506631019,8295.629375108225,2809.0919989917525,1.0156500458798368,0.9092064068817948,1.1350152517050949,1.565004587983676,-9.079359311820523,13.501525170509488,1.565004587983676,185
mu,player,8032,Kenneth Taylor,Netherlands,0.015454534786455157,0.05244801027544347,0.95,-0.08943452093384781,0.11813076393079916,0.61925,0.38075,1.0016097580661958,8116.970516550593,2197.7986191383156,1.0155745736937913,0.9144481403742718,1.125391262331263,1.5574573693791338,-8.55518596257282,12.539126233126296,1.5574573693791338,186
mu,player,13802,Daizen Maeda,Japan,0.015386083130956902,0.05319652829193076,0.95,-0.08912274607399247,0.123831169727856,0.61675,0.38325,0.9993937804954975,10440.150982591229,2938.7248366145727,1.0155050583121887,0.91473328676351,1.1318247685839933,1.5505058312188735,-8.526671323649005,13.182476858399328,1.5505058312188735,187
mu,player,4713,Jonas Hofmann,Germany,0.015367737899347877,0.05019979146348989,0.95,-0.08310207483372703,0.1155079319358305,0.62125,0.37875,1.003387111988723,9587.321326127174,2847.82530450403,1.0154864288075756,0.9202572073243329,1.122443417662132,1.5486428807575559,-7.9742792675667085,12.244341766213207,1.5486428807575559,188
mu,player,13865,Badr Benoun,Morocco,0.015333726703301107,0.04880161446080637,0.95,-0.07964028616284603,0.11271574105387919,0.62625,0.37375,1.0015993190496466,7841.990588521089,2802.101993770877,1.0154518914868937,0.9234484638397746,1.1193137127858896,1.5451891486893743,-7.655153616022536,11.931371278588966,1.5451891486893743,189
mu,player,127,Diogo Dalot,Portugal,0.015177902108918314,0.03898321671521286,0.95,-0.06157181490722948,0.08966080386221414,0.6495,0.3505,1.0028936393113326,7821.004733709673,2791.701842450082,1.0152936714353953,0.9402854168046886,1.0938032069515715,1.5293671435395284,-5.971458319531142,9.380320695157152,1.5293671435395284,190
mu,player,13948,Bassam Al-Rawi,Qatar,0.014982797229530899,0.04532701020857946,0.95,-0.07346055449869054,0.10417117691814021,0.62225,0.37775,1.0034136428858835,7885.149600695213,3017.967280095576,1.0150956020088713,0.9291727967554279,1.1097904091592492,1.5095602008871278,-7.082720324457215,10.97904091592492,1.5095602008871278,191
mu,player,455,Leandro Trossard,Belgium,0.014875045136591606,0.04515801705545105,0.95,-0.073940342408266,0.10467585527814903,0.63175,0.36825,1.000631147935668,9169.783200199292,2670.6729831425846,1.0149862292259002,0.9287270978106705,1.1103506377186216,1.4986229225900205,-7.127290218932947,11.035063771862163,1.4986229225900205,192
mu,player,13973,Hossein Kanaani,Iran,0.014143109098786872,0.053548297778060736,0.95,-0.09327570789306468,0.11842427987046082,0.61475,0.38525,1.0023971823381717,8940.774528815893,2739.0880583728126,1.0142435960400045,0.9109423116849322,1.125721631086989,1.424359604000447,-8.905768831506776,12.57216310869891,1.424359604000447,193
