model,group,player_id,playername,teamname,estimate,posterior_sd,hdi_prob,hdi_lower,hdi_upper,p_gt_zero,p_lt_zero,r_hat,ess_bulk,ess_tail,group_sd_variable,group_sd_estimate,group_sd_posterior_sd,group_sd_hdi_lower,group_sd_hdi_upper,group_sd_r_hat,group_sd_ess_bulk,group_sd_ess_tail,shape_ratio,shape_ratio_hdi_lower,shape_ratio_hdi_upper,conditional_cv_ratio,conditional_cv_ratio_hdi_lower,conditional_cv_ratio_hdi_upper,conditional_cv_pct_difference,conditional_cv_pct_difference_lower,conditional_cv_pct_difference_upper,conditional_cv_pct_change,conditional_variance_ratio,conditional_variance_ratio_hdi_lower,conditional_variance_ratio_hdi_upper,conditional_variance_pct_difference,conditional_variance_pct_difference_lower,conditional_variance_pct_difference_upper,shape_rank,variability_rank
alpha,player,5195,Piero Hincapie,Ecuador,0.09125932507165067,0.09938977469365087,0.95,-0.10383830991257272,0.27950238601081656,0.82125,0.17875,1.0013178701514684,7477.798333817771,3025.9967664715227,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0955530728030571,0.9013710283996463,1.322471568222635,0.9553957155091831,0.869574564719587,1.053290585747712,-4.460428449081688,-13.042543528041294,5.329058574771195,-4.460428449081688,0.9127809732133039,0.7561599236072593,1.109421058024758,-8.721902678669613,-24.384007639274074,10.94210580247581,174,500
alpha,player,13992,Ali Al-Bulayhi,Saudi Arabia,0.09106641906725277,0.13402829200913155,0.95,-0.1702676068556599,0.3485439735505435,0.749,0.251,1.0023188568180637,9079.799840975762,2910.8036762091137,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0953417544201245,0.8434390763137543,1.4170028521999847,0.9554878707384848,0.840068379093389,1.0888627505201398,-4.451212926151515,-15.993162090661095,8.886275052013982,-4.451212926151515,0.9129570711283634,0.705714881552594,1.1856220894702845,-8.704292887163657,-29.4285118447406,18.562208947028445,175,499
alpha,player,3890,Youssouf Fofana,France,0.09093940022948906,0.11473382606900366,0.95,-0.13903118960184344,0.3155399214416383,0.788,0.212,1.0015498171433934,7398.054981908089,2940.0414416083718,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.095202634219154,0.8702008868158017,1.3709993431012204,0.9555485551448993,0.8540462235506282,1.0719887785260103,-4.445144485510067,-14.59537764493718,7.198877852601027,-4.445144485510067,0.9130730412395047,0.7293949519610896,1.1491599412856877,-8.692695876049527,-27.06050480389104,14.915994128568766,176,498
alpha,player,66,Toby Alderweireld,Belgium,0.09060386515082199,0.08411435287562036,0.95,-0.07982492208775242,0.25118587974795153,0.86025,0.13975,1.0004308613602744,6970.51019509304,3131.3239911724077,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0948352169612614,0.9232779778179567,1.285549019651641,0.9557088786228713,0.881973790084849,1.040719666691479,-4.429112137712865,-11.8026209915151,4.071966669147908,-4.429112137712865,0.9133794606785863,0.7778777663966332,1.083097424638423,-8.662053932141367,-22.21222336033668,8.309742463842307,177,497
alpha,player,328,DeAndre Yedlin,United States,0.09058401445032689,0.1957916821005212,0.95,-0.29906557080801505,0.47431946882103004,0.6855,0.3145,1.0010480694849857,7877.189788834051,2543.9660978091315,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0948134839309867,0.7415107863794866,1.6069202659576425,0.9557183644153012,0.7888652690243695,1.1612915436003057,-4.428163558469878,-21.113473097563052,16.129154360030572,-4.428163558469878,0.9133975920806585,0.6223084126728908,1.3485980492375806,-8.660240791934148,-37.76915873271092,34.85980492375806,178,496
alpha,player,2094,Junya Ito,Japan,0.08939285363221693,0.12812177465977714,0.95,-0.16239446483387115,0.3344270309944195,0.7565,0.2435,1.0009690722026938,7966.796678681104,3104.355754194827,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.093510161393263,0.8501058015484587,1.3971396381336236,0.9562877410876862,0.8460189538937032,1.084584790752285,-4.371225891231378,-15.398104610629682,8.458479075228498,-4.371225891231378,0.9144862437545895,0.7157480703473958,1.1763241683311778,-8.551375624541047,-28.425192965260415,17.63241683311778,179,495
alpha,player,4002,Nayef Aguerd,Morocco,0.08870159203371339,0.10528666721034541,0.95,-0.11772940111664683,0.2911248576963913,0.801,0.199,1.0000145111673557,8872.250315219839,3183.3393015250763,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0927545210137963,0.8889365653138616,1.3379316245822384,0.9566183207099116,0.864535916407729,1.060631728151148,-4.33816792900884,-13.546408359227103,6.063172815114792,-4.33816792900884,0.9151186115178512,0.7474223507589518,1.1249396627608907,-8.488138848214877,-25.25776492410482,12.493966276089076,180,494
alpha,player,7535,Karol Swiderski,Poland,0.08760741738628115,0.2068702355603721,0.95,-0.3141520680757588,0.4915724416715061,0.658,0.342,1.0000227516359737,8696.39165956953,2985.9527533187756,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0915595106153009,0.7304079479825959,1.6348849610692142,0.9571418176530203,0.7820894014740227,1.1700845767738,-4.2858182346979685,-21.791059852597726,17.008457677379994,-4.2858182346979685,0.9161204591001275,0.611663831897995,1.3690979168039228,-8.387954089987248,-38.833616810200496,36.90979168039228,181,493
alpha,player,4868,David Raum,Germany,0.08711598093513684,0.10364535730850238,0.95,-0.11886009782480941,0.2871508529944809,0.80175,0.19825,1.000681952817792,8059.977094485576,2927.9957681631804,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0910232102727533,0.8879320156931948,1.3326252288196996,0.9573770337393311,0.8662554591080553,1.0612315240837908,-4.262296626066886,-13.374454089194465,6.1231524083790845,-4.262296626066886,0.9165707847315203,0.7503985204345078,1.1262123477092054,-8.342921526847968,-24.960147956549218,12.621234770920541,182,492
alpha,player,8324,Joakim Maehle,Denmark,0.08465182520519483,0.11197662526432837,0.95,-0.12854385657724685,0.29945560050563114,0.77225,0.22775,0.9993801569178375,7874.51503537898,2893.9134775285847,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0883380688396795,0.8793749951953032,1.3491241451167695,0.9585573237463206,0.8609422928076236,1.066382338862686,-4.144267625367936,-13.905770719237642,6.638233886268607,-4.144267625367936,0.9188321429077085,0.7412216315448479,1.1371712926382525,-8.116785709229147,-25.877836845515212,13.717129263825246,183,491
